CustomerID,Age,Gender,City,AnnualIncome,SpendingScore,PurchaseAmount,PurchaseFrequency,ProductCategory,LastPurchaseDaysAgo
10001,56,Male,Pune,1181408,8,34811,12,Beauty,302
10002,46,Male,Bangalore,847110,14,34960,49,Sports,254
10003,32,Male,Delhi,1438059,48,5598,40,Beauty,293
10004,60,Female,Bangalore,1639661,84,5101,21,Electronics,322
10005,25,Male,Chennai,1777301,28,8967,3,Books,134
10006,38,Female,Bangalore,793744,6,34501,39,Beauty,223
10007,56,Male,Delhi,1771016,30,9622,45,Clothing,249
10008,36,Male,Delhi,1918649,4,44035,18,Clothing,204
10009,40,Male,Mumbai,528807,67,14851,42,Sports,249
10010,28,Male,Delhi,1566473,10,1366,6,Clothing,129
10011,28,Female,Hyderabad,1498403,27,14066,36,Beauty,35
10012,41,Male,Chennai,547550,82,236,45,Clothing,87
10013,53,Female,Hyderabad,1837252,45,21661,15,Clothing,59
10014,57,Female,Pune,761783,75,9223,49,Books,211
10015,41,Female,Hyderabad,336581,35,34809,45,Electronics,249
10016,20,Female,Chennai,402089,13,39792,15,Beauty,262
10017,39,Female,Pune,357105,55,8460,38,Electronics,258
10018,19,Female,Hyderabad,1415870,87,47823,44,Clothing,23
10019,41,Female,Hyderabad,1036635,43,25137,24,Books,183
10020,61,Male,Pune,420266,73,20989,7,Electronics,173
10021,47,Female,Hyderabad,1016919,68,24539,9,Home,278
10022,55,Male,Delhi,394500,43,40419,11,Beauty,164
10023,19,Male,Chennai,841563,40,28192,16,Clothing,2
10024,38,Female,Chennai,875001,31,8847,7,Clothing,99
10025,50,Female,Chennai,395729,3,39484,25,Home,11
10026,29,Male,Hyderabad,1253443,17,11137,14,Clothing,150
10027,39,Male,Delhi,798887,80,28995,1,Electronics,9
10028,61,Female,Chennai,1828848,39,25501,20,Clothing,2
10029,42,Female,Bangalore,1461695,66,42934,28,Sports,70
10030,44,Male,Chennai,247455,69,26374,49,Electronics,357
10031,59,Male,Mumbai,1741502,97,1631,38,Electronics,236
10032,45,Female,Bangalore,523282,77,38686,34,Beauty,75
10033,33,Male,Chennai,842396,76,343,9,Beauty,188
10034,32,Male,Hyderabad,1139488,19,16518,48,Sports,11
10035,64,Female,Chennai,1706113,22,9482,20,Beauty,170
10036,61,Male,Delhi,685689,8,23913,43,Sports,309
10037,20,Female,Delhi,1686346,68,5553,38,Beauty,214
10038,54,Female,Chennai,281774,71,43839,31,Home,165
10039,24,Female,Hyderabad,470326,86,46244,21,Home,133
10040,38,Male,Hyderabad,1519912,18,21713,22,Books,25
